split,image_id,original_image_filename,original_mask_filename,output_filename,foreground_pixels,foreground_fraction,has_annotation
train,1,тест 1 фон 1.png,тест 1 фон 1.png,train_001.png,16340,0.0623321533203125,True
train,2,тест 1 фон 2.png,тест 1 фон 2.png,train_002.png,16340,0.0623321533203125,True
train,3,тест 1 фон 3.png,тест 1 фон 3.png,train_003.png,16340,0.0623321533203125,True
train,4,тест 1 фон 4.png,тест 1 фон 4.png,train_004.png,16340,0.0623321533203125,True
train,5,тест 1 фон 5.png,тест 1 фон 5.png,train_005.png,16340,0.0623321533203125,True
train,6,тест 1 фон 6.png,тест 1 фон 6.png,train_006.png,16340,0.0623321533203125,True
train,7,тест 1 фон 7.png,тест 1 фон 7.png,train_007.png,16340,0.0623321533203125,True
train,8,тест 2 фон 1.png,тест 2 фон 1.png,train_008.png,29022,0.11071014404296875,True
train,9,тест 2 фон 2.png,тест 2 фон 2.png,train_009.png,29022,0.11071014404296875,True
train,10,тест 2 фон 3.png,тест 2 фон 3.png,train_010.png,29022,0.11071014404296875,True
train,11,тест 2 фон 4.png,тест 2 фон 4.png,train_011.png,29022,0.11071014404296875,True
train,12,тест 2 фон 5.png,тест 2 фон 5.png,train_012.png,29022,0.11071014404296875,True
train,13,тест 2 фон 6.png,тест 2 фон 6.png,train_013.png,29022,0.11071014404296875,True
train,14,тест 2 фон 7.png,тест 2 фон 7.png,train_014.png,29022,0.11071014404296875,True
train,15,тест 3 фон 1.png,тест 3 фон 1.png,train_015.png,40940,0.1561737060546875,True
train,16,тест 3 фон 2.png,тест 3 фон 2.png,train_016.png,40940,0.1561737060546875,True
train,17,тест 3 фон 3.png,тест 3 фон 3.png,train_017.png,40940,0.1561737060546875,True
train,18,тест 3 фон 4.png,тест 3 фон 4.png,train_018.png,40940,0.1561737060546875,True
train,19,тест 3 фон 5.png,тест 3 фон 5.png,train_019.png,40940,0.1561737060546875,True
train,20,тест 3 фон 6.png,тест 3 фон 6.png,train_020.png,40940,0.1561737060546875,True
train,21,тест 3 фон 7.png,тест 3 фон 7.png,train_021.png,40940,0.1561737060546875,True
train,22,тест 4 фон 1.png,тест 4 фон 1.png,train_022.png,107278,0.40923309326171875,True
train,23,тест 4 фон 2.png,тест 4 фон 2.png,train_023.png,107278,0.40923309326171875,True
train,24,тест 4 фон 3.png,тест 4 фон 3.png,train_024.png,107278,0.40923309326171875,True
train,25,тест 4 фон 4.png,тест 4 фон 4.png,train_025.png,107278,0.40923309326171875,True
train,26,тест 4 фон 5.png,тест 4 фон 5.png,train_026.png,107278,0.40923309326171875,True
train,27,тест 4 фон 6.png,тест 4 фон 6.png,train_027.png,107278,0.40923309326171875,True
train,28,тест 4 фон 7.png,тест 4 фон 7.png,train_028.png,107278,0.40923309326171875,True
train,29,тест 5 фон 1.png,тест 5 фон 1.png,train_029.png,27772,0.1059417724609375,True
train,30,тест 5 фон 2.png,тест 5 фон 2.png,train_030.png,27772,0.1059417724609375,True
train,31,тест 5 фон 3.png,тест 5 фон 3.png,train_031.png,27772,0.1059417724609375,True
train,32,тест 5 фон 4.png,тест 5 фон 4.png,train_032.png,27772,0.1059417724609375,True
train,33,тест 5 фон 5.png,тест 5 фон 5.png,train_033.png,27772,0.1059417724609375,True
train,34,тест 5 фон 6.png,тест 5 фон 6.png,train_034.png,27772,0.1059417724609375,True
train,35,тест 5 фон 7.png,тест 5 фон 7.png,train_035.png,27772,0.1059417724609375,True
train,36,тест 6 фон 1.png,тест 6 фон 1.png,train_036.png,15493,0.059101104736328125,True
train,37,тест 6 фон 2.png,тест 6 фон 2.png,train_037.png,15493,0.059101104736328125,True
train,38,тест 6 фон 3.png,тест 6 фон 3.png,train_038.png,15493,0.059101104736328125,True
train,39,тест 6 фон 4.png,тест 6 фон 4.png,train_039.png,15493,0.059101104736328125,True
train,40,тест 6 фон 5.png,тест 6 фон 5.png,train_040.png,15493,0.059101104736328125,True
train,41,тест 6 фон 6.png,тест 6 фон 6.png,train_041.png,15493,0.059101104736328125,True
train,42,тест 6 фон 7.png,тест 6 фон 7.png,train_042.png,15493,0.059101104736328125,True
train,43,тест 7 фон 1.png,тест 7 фон 1.png,train_043.png,25984,0.09912109375,True
