epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.10969,1.6102,7.23801,3.01372,2.33881,0,0.26714,0.07143,0.04123,0.02349,0.26714,0.07143,0.03355,0.01629,1.56364,8.22445,2.73045,2.44176,0,3.07692e-05,3.07692e-05,0.0692615
2,10.0239,1.6227,7.50695,2.93572,2.32031,0,0.22014,0.07143,0.03533,0.01859,0.22014,0.07143,0.02886,0.01198,1.67684,8.23483,2.77554,2.55803,0,6.28333e-05,6.28333e-05,0.0359603
3,13.8517,1.53975,6.81457,2.99064,2.27856,0,0.1698,0.07143,0.03038,0.01812,0.1698,0.07143,0.02423,0.00855,1.63408,8.63254,2.7604,2.48198,0,9.35774e-05,9.35774e-05,0.00265768
4,17.0455,1.55172,5.84849,2.89829,2.22553,0,0.59832,0.28571,0.2549,0.16031,0.59832,0.28571,0.2549,0.12114,1.10288,2.70433,1.88924,1.52623,0,9.406e-05,9.406e-05,9.406e-05
5,24.8237,0.93629,2.68783,1.98375,1.37032,0,0.48658,0.25,0.21982,0.18323,0.48658,0.25,0.21982,0.16559,0.70383,2.00853,1.16286,1.05519,0,9.208e-05,9.208e-05,9.208e-05
6,30.7525,0.61286,1.92023,1.73403,1.0714,0,0.48658,0.25,0.21982,0.18323,0.48658,0.25,0.21982,0.16559,0.70383,2.00853,1.16286,1.05519,0,9.01e-05,9.01e-05,9.01e-05
7,39.8115,0.42393,1.55487,1.023,0.93122,0,0.65192,0.28571,0.25929,0.22399,0.65192,0.28571,0.25929,0.19232,0.53043,1.72901,0.87403,0.95463,0,8.812e-05,8.812e-05,8.812e-05
8,45.0197,0.31753,1.41203,0.73184,0.87684,0,0.88454,0.28571,0.285,0.25095,0.88454,0.28571,0.285,0.21177,0.46836,1.56793,0.93893,0.89724,0,8.614e-05,8.614e-05,8.614e-05
9,52.7956,0.27532,1.34207,0.65575,0.83592,0,0.96701,0.28571,0.285,0.24452,0.96701,0.28571,0.285,0.22156,0.47582,1.46943,0.63353,0.88931,0,8.416e-05,8.416e-05,8.416e-05
10,59.3094,0.25909,1.12121,0.59675,0.84569,0,0.99206,0.28571,0.285,0.24323,0.99206,0.28571,0.285,0.21637,0.47827,1.45334,0.44533,0.88203,0,8.218e-05,8.218e-05,8.218e-05
11,68.2331,0.23747,1.02375,0.52739,0.80227,0,0.99206,0.28571,0.285,0.24323,0.99206,0.28571,0.285,0.21637,0.47827,1.45334,0.44533,0.88203,0,8.02e-05,8.02e-05,8.02e-05
12,73.1218,0.20746,0.92383,0.42395,0.7943,0,0.99302,0.28571,0.285,0.24937,0.99302,0.28571,0.285,0.22537,0.45874,1.483,0.443,0.86943,0,7.822e-05,7.822e-05,7.822e-05
13,80.2411,0.2294,0.94961,0.42326,0.81075,0,0.99343,0.28571,0.285,0.25125,0.99343,0.28571,0.285,0.22987,0.47387,1.51016,0.46581,0.86356,0,7.624e-05,7.624e-05,7.624e-05
